submission_id,team,cell_id,cell,assay_id,assay,bootstraip_id,mse,gwcorr,gwspear,mseprom,msegene,mseenh,msevar,mse1obs,mse1imp
1000020,BrokenNodes,C02,adrenal gland,M22,H3K4me3,0,41.51386884,0.7169180532,0.075523712,508.8474482,74.72584162,174.227029,14203.84768,3640.859898,4136.834287
1000020,BrokenNodes,C02,adrenal gland,M22,H3K4me3,1,40.84811197,0.7163741337,0.07293338131,499.988877,74.06360291,172.319264,14212.9395,3587.174577,4070.963633
1000020,BrokenNodes,C02,adrenal gland,M22,H3K4me3,2,43.12658721,0.7169143893,0.07404183495,510.5926151,78.05761036,177.6958551,14320.18141,3785.245979,4296.282245
1000020,BrokenNodes,C02,adrenal gland,M22,H3K4me3,3,44.67302107,0.7193898954,0.07308943773,511.9553511,79.41389371,173.6057574,14406.43513,3916.37082,4449.168264
1000020,BrokenNodes,C02,adrenal gland,M22,H3K4me3,4,42.65450953,0.7171828562,0.07266879501,507.345881,77.48885961,177.5564562,14277.3794,3730.381262,4249.770004
1000020,BrokenNodes,C02,adrenal gland,M22,H3K4me3,5,42.73355445,0.7187701521,0.07339921983,506.2756299,77.49412892,177.715915,14344.50562,3748.958688,4257.81979
1000020,BrokenNodes,C02,adrenal gland,M22,H3K4me3,6,43.62069015,0.7180678923,0.07348771872,519.7538684,78.96854775,180.9073435,14362.95468,3828.768072,4345.526802
1000020,BrokenNodes,C02,adrenal gland,M22,H3K4me3,7,42.80160422,0.7176243683,0.07646928414,523.4011739,76.80015686,179.5155013,14284.88893,3755.872611,4264.311788
1000020,BrokenNodes,C02,adrenal gland,M22,H3K4me3,8,43.94486871,0.7181276093,0.07652147031,526.0030359,77.86603316,178.0960784,14365.88741,3857.291767,4377.816559
1000020,BrokenNodes,C02,adrenal gland,M22,H3K4me3,9,41.48619456,0.7167798926,0.07484475889,519.4981162,74.36487543,176.7154144,14213.26061,3645.427685,4134.2415
1010037,ENCODE_DCC_Imputes,C02,adrenal gland,M22,H3K4me3,0,22.21433536,0.4187569626,0.02763508476,265.6361546,39.81490975,93.94374799,7053.031631,1911.941569,2158.377387
1010037,ENCODE_DCC_Imputes,C02,adrenal gland,M22,H3K4me3,1,21.96869478,0.4014939161,0.02699119469,263.6522658,39.89627001,93.44600108,7066.098934,1896.848703,2133.885685
1010037,ENCODE_DCC_Imputes,C02,adrenal gland,M22,H3K4me3,2,21.96941439,0.3971931212,0.02967908832,254.8188224,39.66491682,90.46162583,6715.829504,1894.156964,2132.635628
1010037,ENCODE_DCC_Imputes,C02,adrenal gland,M22,H3K4me3,3,22.19318871,0.4051526381,0.0497047229,251.2996463,39.10719688,89.55052088,6596.553035,1912.562423,2158.497494
1010037,ENCODE_DCC_Imputes,C02,adrenal gland,M22,H3K4me3,4,20.09378207,0.3651630972,0.02709767992,231.3485998,36.57247698,85.11305243,6139.91745,1719.936865,1947.597968
1010037,ENCODE_DCC_Imputes,C02,adrenal gland,M22,H3K4me3,5,19.93058581,0.3818549146,0.02857522313,227.9195985,36.47399536,87.27398177,6125.722236,1705.325429,1931.305257
1010037,ENCODE_DCC_Imputes,C02,adrenal gland,M22,H3K4me3,6,12.16315728,0.4253974974,0.03165068575,150.6607337,21.14985303,50.89122796,3472.323304,1019.965173,1190.634703
1010037,ENCODE_DCC_Imputes,C02,adrenal gland,M22,H3K4me3,7,22.18599673,0.4078260767,0.03076490179,261.458806,39.56627229,93.5785684,6858.273277,1916.370755,2159.363682
1010037,ENCODE_DCC_Imputes,C02,adrenal gland,M22,H3K4me3,8,21.34352195,0.3910557695,0.03611867246,253.5309948,37.79088485,86.66018764,6499.882042,1842.453774,2070.11438
1010037,ENCODE_DCC_Imputes,C02,adrenal gland,M22,H3K4me3,9,16.76172809,0.4174017529,0.02772357253,197.2033568,29.72853311,66.74914388,5502.042551,1468.526703,1614.219481
1020037,Hongyang_Li_and_Yuanfang_Guan,C02,adrenal gland,M22,H3K4me3,0,30.90360101,0.7649040973,0.1903550306,376.3170672,55.36440652,128.8423547,9890.384484,2752.457757,3076.908529
1020037,Hongyang_Li_and_Yuanfang_Guan,C02,adrenal gland,M22,H3K4me3,1,30.47698315,0.7649747511,0.1891812416,370.6366007,54.99453746,127.9764229,9908.05691,2718.438351,3034.778125
1020037,Hongyang_Li_and_Yuanfang_Guan,C02,adrenal gland,M22,H3K4me3,2,32.13909947,0.7650701939,0.189037823,378.0769454,57.84869972,132.1337306,9969.527083,2863.437114,3198.723102
1020037,Hongyang_Li_and_Yuanfang_Guan,C02,adrenal gland,M22,H3K4me3,3,33.34128024,0.7670763645,0.1888166104,379.3452126,58.95417164,129.1621875,10050.86507,2966.755205,3317.282606
1020037,Hongyang_Li_and_Yuanfang_Guan,C02,adrenal gland,M22,H3K4me3,4,31.75421216,0.7656024809,0.1883729354,374.6684036,57.4135089,131.3472361,9929.375182,2819.546745,3160.914166
1020037,Hongyang_Li_and_Yuanfang_Guan,C02,adrenal gland,M22,H3K4me3,5,31.86791049,0.7666062631,0.1885426501,375.177775,57.49291461,132.1984213,10003.21441,2837.258604,3172.356108
1020037,Hongyang_Li_and_Yuanfang_Guan,C02,adrenal gland,M22,H3K4me3,6,32.42216762,0.7659765649,0.1889511349,383.9004405,58.36574607,134.2819898,9985.055128,2889.272353,3226.976219
1020037,Hongyang_Li_and_Yuanfang_Guan,C02,adrenal gland,M22,H3K4me3,7,31.94110726,0.7653496992,0.1901404711,388.1671221,56.98859596,133.5229007,9971.780279,2845.586636,3179.388726
1020037,Hongyang_Li_and_Yuanfang_Guan,C02,adrenal gland,M22,H3K4me3,8,32.81507256,0.7662796425,0.1911686548,390.4770131,57.83502483,132.8079839,10018.32829,2924.626856,3266.103092
1020037,Hongyang_Li_and_Yuanfang_Guan,C02,adrenal gland,M22,H3K4me3,9,30.89602065,0.7645278826,0.1901083357,384.3622206,55.0794878,131.6358127,9906.577286,2756.042882,3076.270544
